season,month,park,x_cm,z_cm,x_se,z_se,min_raw_cov_eigenvalue,games,pitchers,rows,pitches
2022,9,잠실,0.0,0.0,0.2000000000000001,0.20000000000000007,6.32416454924341e-18,22,92,322,5019
2022,9,창원,9.369047784272627,1.7174224249793628,0.4910076602466885,0.4564585012962744,6.32416454924341e-18,12,58,192,3034
2023,4,고척,10.300542591644785,9.387576310506825,0.40125462105107196,0.39689215138573897,-1.2295068854635858e-17,14,61,219,3343
2023,4,광주,5.486904183119719,2.197886845997795,0.42173060924340566,0.41343491848154296,-1.2295068854635858e-17,12,50,176,3062
2023,4,대구,1.817396902798409,4.330404544103972,0.44290769819770565,0.39417528456994216,-1.2295068854635858e-17,12,52,176,2907
2023,4,대전구,16.94487521027144,2.778461144112402,0.3716886503712324,0.37449929873327004,-1.2295068854635858e-17,12,54,220,3129
2023,4,문학,-3.114970738084242,3.1166656360539493,0.4920681560222161,0.3024932248629367,-1.2295068854635858e-17,12,49,187,3102
2023,4,사직,-1.2708147248935013,-0.3334975888633469,0.3974392398507121,0.3541125182741079,-1.2295068854635858e-17,13,55,189,2796
2023,4,수원,14.302101059933545,4.9953861970201245,0.4925082133684247,0.3984869845725489,-1.2295068854635858e-17,11,56,202,3119
2023,4,잠실,0.0,0.0,0.20000000000000004,0.2,-1.2295068854635858e-17,25,92,412,6593
2023,4,창원,6.069988804667368,0.8687009745647192,0.6222377269237912,0.4395778236234726,-1.2295068854635858e-17,9,40,140,2260
2023,5,고척,9.98562342060466,9.992052163629456,0.4598485613826642,0.3091292289505949,-4.232228974585312e-18,12,56,203,3140
2023,5,광주,7.556007830999363,2.1841743060166365,0.4132038043982876,0.2717891897794349,-4.232228974585312e-18,13,61,200,3136
2023,5,대구,3.1542606086932388,3.942968915581062,0.4466377552541314,0.328476752091027,-4.232228974585312e-18,11,52,165,2540
2023,5,대전구,16.800372734498847,3.48083540530497,0.3634448040792823,0.2573933367761745,-4.232228974585312e-18,12,52,187,2823
2023,5,문학,-3.887982839568135,3.850033353668988,0.39621895098770205,0.25578614665222954,-4.232228974585312e-18,11,51,200,2826
2023,5,사직,-1.2130434955769225,0.510227889522822,0.3930185386012107,0.2782728129078402,-4.232228974585312e-18,9,43,140,2208
2023,5,수원,14.761117649718054,5.75403609942996,0.43060879778733696,0.3039616610967683,-4.232228974585312e-18,12,58,178,3038
2023,5,잠실,0.0,0.0,0.20000000000000007,0.20000000000000004,-4.232228974585312e-18,22,93,351,5531
2023,5,창원,6.3086421021963055,1.25137558337914,0.5800046971707813,0.30908225121166366,-4.232228974585312e-18,11,58,188,2698
2023,6,고척,9.272878886359898,10.335803570406657,0.34944020583766017,0.3111938276830399,-6.4051832827696684e-18,10,45,157,2387
2023,6,광주,7.520551832286568,1.8824051552838252,0.4172856504277686,0.3475216152401394,-6.4051832827696684e-18,10,48,184,2753
2023,6,대구,2.8092452815442908,4.768338245810424,0.5805284717059466,0.3433779362131545,-6.4051832827696684e-18,10,51,163,2695
2023,6,대전구,17.370321518559287,2.8681252128011314,0.37317997045887247,0.33134617935924426,-6.4051832827696684e-18,15,67,265,3811
2023,6,문학,-2.9821376782586704,4.260924695399572,0.40456453703881196,0.295869246893457,-6.4051832827696684e-18,15,61,247,4133
2023,6,사직,-0.37471853865071836,-0.23836715913691453,0.40602404675147363,0.3288422208538417,-6.4051832827696684e-18,11,55,205,3144
2023,6,수원,14.329834016036346,6.349021183543759,0.4690290639964586,0.40671366289918404,-6.4051832827696684e-18,13,56,198,3240
2023,6,잠실,0.0,0.0,0.19999999999999998,0.2,-6.4051832827696684e-18,25,94,427,6412
2023,6,창원,6.946185908085678,1.0392638600980968,0.5062354770934896,0.26320495224258644,-6.4051832827696684e-18,11,55,201,3088
2023,7,고척,10.659542774771857,10.936287470864446,0.49990443273898033,0.3610320393995366,-2.8772687375968116e-18,14,59,225,3212
2023,7,광주,8.743623062907947,1.1332730338212524,0.4763439265357825,0.42201051125668265,-2.8772687375968116e-18,6,28,86,1423
2023,7,대구,3.211241541593237,4.282256588361258,0.5408610572928998,0.38860103120962897,-2.8772687375968116e-18,8,38,118,1817
2023,7,대전구,17.413565712631986,2.872666873769173,0.5072236426155808,0.36095396225913057,-2.8772687375968116e-18,6,37,109,1678
2023,7,문학,-3.7870699088983812,3.547069383232194,0.6119789970658094,0.35985167922542977,-2.8772687375968116e-18,6,35,107,1526
2023,7,사직,0.2699435509427328,-0.6363200313428568,0.49454332561505066,0.4206685103928015,-2.8772687375968116e-18,6,37,107,1390
2023,7,수원,14.965498121645606,6.5238493216609665,0.5318743257100522,0.43626996582816,-2.8772687375968116e-18,8,43,126,2039
2023,7,잠실,0.0,0.0,0.19999999999999993,0.19999999999999998,-2.8772687375968116e-18,15,55,166,2432
2023,7,창원,7.0781084274187975,0.5581952718602956,0.6557354020136478,0.39910273332166857,-2.8772687375968116e-18,10,47,143,2390
2023,8,고척,10.648770951781621,10.911921536311292,0.5070779278889664,0.3519948173426803,-1.5776546887095595e-17,9,45,176,2604
2023,8,광주,7.982751597554948,1.849843797864093,0.4084949188407359,0.30513700592446413,-1.5776546887095595e-17,11,50,182,2612
2023,8,대구,4.123420575527398,4.483282287815452,0.40706126417856875,0.33380272472950345,-1.5776546887095595e-17,12,50,177,2628
2023,8,대전구,18.436695419149224,3.2671237207422106,0.7394272685209944,0.31936649097699615,-1.5776546887095595e-17,11,43,183,2833
2023,8,문학,-3.6215486931874636,4.450848940344623,0.40895400969173745,0.3971239883328533,-1.5776546887095595e-17,11,48,203,3032
2023,8,사직,0.15819992126069238,-0.8115305807836606,0.4777275191037867,0.3195930188460851,-1.5776546887095595e-17,15,56,249,3662
2023,8,수원,10.577945040717829,7.77363957073546,0.6202610069806042,0.26838731967273255,-1.5776546887095595e-17,11,52,160,2731
2023,8,잠실,0.0,0.0,0.2,0.2,-1.5776546887095595e-17,21,85,364,5577
2023,8,창원,8.315246811489956,0.17080270811956666,0.5662562530556682,0.3710877307040777,-1.5776546887095595e-17,9,45,159,2230
2023,9,고척,10.857326171757254,10.809339777293504,0.7470901360689564,0.41208451675299895,-5.513913997462052e-18,9,49,133,2081
2023,9,광주,7.737971117742568,1.5931925457139815,0.3239108564364962,0.37788593732186904,-5.513913997462052e-18,12,50,206,3015
2023,9,대구,3.197001207971505,4.327556205970028,0.6018537199200433,0.542244142234046,-5.513913997462052e-18,8,43,131,1888
2023,9,대전구,18.492398222574952,3.791313337626768,0.543200298634806,0.3871299174316591,-5.513913997462052e-18,12,62,218,2875
