park,x_cm,z_cm,season,month
수원,10.57794504071784,7.7736395707354555,2023,8
잠실,0.0,0.0,2023,8
창원,8.315246811489963,0.17080270811956844,2023,8
고척,10.857326171757254,10.809339777293504,2023,9
광주,7.737971117742568,1.5931925457139817,2023,9
대구,3.1970012079715047,4.327556205970028,2023,9
대전구,18.492398222574952,3.791313337626768,2023,9
문학,-2.6085896906821455,3.592753796014397,2023,9
사직,-0.4211097880583994,-0.5395528148059476,2023,9
수원,10.945753817725873,7.465933549563967,2023,9
잠실,0.0,0.0,2023,9
창원,6.45413700904566,0.012878356698267979,2023,9
광주,7.160661080807132,2.1304540365304225,2023,10
대전구,17.898682133145392,2.9349789613833233,2023,10
문학,-2.9802735412335535,3.422071521978742,2023,10
사직,-0.28912153863544443,-0.7547703698659776,2023,10
수원,10.97450772109315,6.808776841579616,2023,10
잠실,0.0,0.0,2023,10
창원,6.425241602150769,-0.2562623401142128,2023,10
광주,3.311605840737228,1.3965477895904077,2024,3
대구,-1.097794361068079,4.5832849906969875,2024,3
대전구,8.45290172863077,4.2365193794549745,2024,3
문학,-11.120367216343324,2.93847534424677,2024,3
사직,-3.6759954523629306,1.546094058644838,2024,3
수원,16.869981601028133,8.198205711616055,2024,3
잠실,0.0,0.0,2024,3
창원,2.374894444069702,1.0449949974716022,2024,3
고척,7.933641943444348,11.391649591992842,2024,4
광주,1.8058529217553398,0.374623175274571,2024,4
대구,0.5809850180637874,4.819663559960579,2024,4
대전구,8.52648865624514,4.092857232480638,2024,4
문학,-5.093154713267447,3.1927558103178266,2024,4
사직,-3.249875016080969,1.5347094311214877,2024,4
수원,16.61577346046895,9.120936418030027,2024,4
잠실,0.0,0.0,2024,4
창원,3.0734770979698336,1.5717840514337627,2024,4
고척,7.912001497383731,11.386375361866609,2024,5
광주,0.8755770913612695,0.6463834208187302,2024,5
대구,-1.6191154727442267,4.183886043729012,2024,5
대전구,8.385230704599458,4.260275914398435,2024,5
문학,-8.009452768908584,2.163307301485058,2024,5
사직,-3.0272196657711277,0.1450878428763307,2024,5
수원,16.352063776902035,8.500688027385227,2024,5
잠실,0.0,0.0,2024,5
창원,2.2109245551686847,0.4128157427580703,2024,5
고척,11.285022062538266,14.19249072597048,2024,6
광주,2.4323430100806034,0.6118600058565113,2024,6
대구,-0.6633702758515607,4.307402124643546,2024,6
대전구,4.851112006322575,4.507776997968237,2024,6
문학,-6.656913423508438,5.829192254280032,2024,6
사직,-2.0881214485293147,1.0918567470899623,2024,6
수원,15.779060510237162,9.391635245862929,2024,6
잠실,0.0,0.0,2024,6
창원,2.7678449018442155,1.8935151743951844,2024,6
고척,8.592642502246562,13.157265621468568,2024,7
광주,2.9477752958777557,3.2256839089044074,2024,7
대구,-0.3258668053293525,4.4016828778972314,2024,7
대전구,5.5436879639237855,5.270948585570422,2024,7
문학,-9.796788725156748,6.078354689147587,2024,7
수원,14.702585986614043,9.552106259783793,2024,7
